Match Number,Round Number,Date,Location,Home Team,Away Team,Result
67,1,06/04/2021 23:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,6 - 5
68,1,06/04/2021 23:40,Wrigley Field,Chicago Cubs,Milwaukee Brewers,0 - 4
69,1,07/04/2021 00:05,Globe Life Field,Texas Rangers,Toronto Blue Jays,7 - 4
70,1,07/04/2021 00:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,8 - 10
71,1,07/04/2021 01:40,Oakland Coliseum,Oakland Athletics,Los Angeles Dodgers,1 - 5
72,1,07/04/2021 02:10,Petco Park,San Diego Padres,San Francisco Giants,3 - 1
73,1,07/04/2021 02:10,T-Mobile Park,Seattle Mariners,Chicago White Sox,4 - 10
74,2,07/04/2021 16:05,Nationals Park,Washington Nationals,Atlanta Braves,6 - 7
75,2,07/04/2021 16:10,Nationals Park,Washington Nationals,Atlanta Braves,0 - 2
76,2,07/04/2021 16:35,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,11 - 4
77,2,07/04/2021 17:10,Progressive Field,Cleveland Indians,Kansas City Royals,4 - 2
78,2,07/04/2021 17:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,9 - 2
79,2,07/04/2021 17:10,Comerica Park,Detroit Tigers,Minnesota Twins,2 - 3
80,2,07/04/2021 18:05,Globe Life Field,Texas Rangers,Toronto Blue Jays,2 - 1
81,2,07/04/2021 18:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,2 - 4
82,2,07/04/2021 19:37,Oakland Coliseum,Oakland Athletics,Los Angeles Dodgers,4 - 3
83,2,07/04/2021 20:05,Citizens Bank Park,Philadelphia Phillies,New York Mets,8 - 2
84,2,07/04/2021 20:10,Petco Park,San Diego Padres,San Francisco Giants,2 - 3
85,2,07/04/2021 20:10,T-Mobile Park,Seattle Mariners,Chicago White Sox,8 - 4
86,2,07/04/2021 20:10,loanDepot park,Miami Marlins,St. Louis Cardinals,0 - 7
87,2,07/04/2021 22:35,Yankee Stadium,New York Yankees,Baltimore Orioles,3 - 4
88,2,08/04/2021 00:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,8 - 0
89,2,08/04/2021 17:10,Citi Field,New York Mets,Miami Marlins,3 - 2
90,2,08/04/2021 17:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,2 - 4
91,2,08/04/2021 19:05,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,3 - 7
92,2,08/04/2021 19:10,Coors Field,Colorado Rockies,Arizona Diamondbacks,7 - 3
93,2,08/04/2021 20:10,Target Field,Minnesota Twins,Seattle Mariners,10 - 2
94,2,08/04/2021 20:10,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,6 - 0
95,2,08/04/2021 20:15,Busch Stadium,St. Louis Cardinals,Milwaukee Brewers,3 - 1
96,2,08/04/2021 23:07,TD Ballpark,Toronto Blue Jays,Los Angeles Angels,5 - 7
