Match Number,Round Number,Date,Location,Home Team,Away Team,Result
624,7,19/05/2021 02:10,T-Mobile Park,Seattle Mariners,Detroit Tigers,0 - 5
625,8,19/05/2021 17:10,Target Field,Minnesota Twins,Chicago White Sox,1 - 2
626,8,19/05/2021 20:10,Petco Park,San Diego Padres,Colorado Rockies,3 - 0
627,8,19/05/2021 22:40,Great American Ball Park,Cincinnati Reds,San Francisco Giants,0 - 4
628,8,19/05/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,7 - 9
629,8,19/05/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,1 - 3
630,8,19/05/2021 23:20,Truist Park,Atlanta Braves,New York Mets,5 - 4
631,8,19/05/2021 23:37,TD Ballpark,Toronto Blue Jays,Boston Red Sox,3 - 7
632,8,19/05/2021 23:40,Wrigley Field,Chicago Cubs,Washington Nationals,3 - 4
633,8,19/05/2021 23:45,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,8 - 5
634,8,20/05/2021 00:05,Globe Life Field,Texas Rangers,New York Yankees,0 - 2
635,8,20/05/2021 00:07,Angel Stadium,Los Angeles Angels,Cleveland Indians,2 - 3
636,8,20/05/2021 00:10,Kauffman Stadium,Kansas City Royals,Milwaukee Brewers,6 - 4
637,8,20/05/2021 01:40,Oakland Coliseum,Oakland Athletics,Houston Astros,1 - 8
638,8,20/05/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,4 - 2
639,8,20/05/2021 02:10,T-Mobile Park,Seattle Mariners,Detroit Tigers,2 - 6
640,8,20/05/2021 16:35,Great American Ball Park,Cincinnati Reds,San Francisco Giants,4 - 19
641,8,20/05/2021 16:35,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,1 - 10
642,8,20/05/2021 18:05,Globe Life Field,Texas Rangers,New York Yankees,0 - 2
643,8,20/05/2021 18:20,Wrigley Field,Chicago Cubs,Washington Nationals,5 - 2
644,8,20/05/2021 19:37,Oakland Coliseum,Oakland Athletics,Houston Astros,4 - 8
645,8,20/05/2021 20:07,Angel Stadium,Los Angeles Angels,Minnesota Twins,7 - 1
647,8,20/05/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,0 - 6
646,8,20/05/2021 23:07,Angel Stadium,Los Angeles Angels,Minnesota Twins,3 - 6
648,8,20/05/2021 23:20,Truist Park,Atlanta Braves,Pittsburgh Pirates,4 - 6
649,8,20/05/2021 23:37,TD Ballpark,Toronto Blue Jays,Boston Red Sox,7 - 8
650,8,21/05/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,3 - 2
651,8,21/05/2021 23:05,Nationals Park,Washington Nationals,Baltimore Orioles,4 - 2
652,8,21/05/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Boston Red Sox,3 - 11
653,8,21/05/2021 23:05,Yankee Stadium,New York Yankees,Chicago White Sox,2 - 1
654,8,21/05/2021 23:10,Progressive Field,Cleveland Indians,Minnesota Twins,0 - 10
655,8,21/05/2021 23:10,loanDepot park,Miami Marlins,New York Mets,5 - 6
656,8,21/05/2021 23:10,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,9 - 4
657,8,21/05/2021 23:20,Truist Park,Atlanta Braves,Pittsburgh Pirates,20 - 1
658,8,21/05/2021 23:37,TD Ballpark,Toronto Blue Jays,Tampa Bay Rays,7 - 9
659,8,22/05/2021 00:05,Globe Life Field,Texas Rangers,Houston Astros,7 - 5
660,8,22/05/2021 00:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,5 - 7
661,8,22/05/2021 00:15,Busch Stadium,St. Louis Cardinals,Chicago Cubs,3 - 12
662,8,22/05/2021 00:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,7 - 1
663,8,22/05/2021 01:38,Angel Stadium,Los Angeles Angels,Oakland Athletics,4 - 8
664,8,22/05/2021 01:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,1 - 2
665,8,22/05/2021 02:10,Petco Park,San Diego Padres,Seattle Mariners,16 - 1
666,8,22/05/2021 17:05,Yankee Stadium,New York Yankees,Chicago White Sox,7 - 0
667,8,22/05/2021 19:10,Coors Field,Colorado Rockies,Arizona Diamondbacks,7 - 6
668,8,22/05/2021 20:05,Nationals Park,Washington Nationals,Baltimore Orioles,12 - 9
669,8,22/05/2021 20:05,Globe Life Field,Texas Rangers,Houston Astros,8 - 4
670,8,22/05/2021 20:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,7 - 5
671,8,22/05/2021 20:10,Progressive Field,Cleveland Indians,Minnesota Twins,5 - 3
672,8,22/05/2021 20:10,Truist Park,Atlanta Braves,Pittsburgh Pirates,6 - 1
673,8,22/05/2021 20:10,loanDepot park,Miami Marlins,New York Mets,3 - 1
674,8,22/05/2021 20:10,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,3 - 4
675,8,22/05/2021 23:15,Oracle Park,San Francisco Giants,Los Angeles Dodgers,3 - 6
676,8,22/05/2021 23:15,Busch Stadium,St. Louis Cardinals,Chicago Cubs,2 - 1
677,8,22/05/2021 23:15,Citizens Bank Park,Philadelphia Phillies,Boston Red Sox,3 - 4
678,8,22/05/2021 23:37,TD Ballpark,Toronto Blue Jays,Tampa Bay Rays,1 - 3
679,8,23/05/2021 00:40,Petco Park,San Diego Padres,Seattle Mariners,6 - 4
680,8,23/05/2021 02:07,Angel Stadium,Los Angeles Angels,Oakland Athletics,2 - 6
681,8,23/05/2021 17:05,Nationals Park,Washington Nationals,Baltimore Orioles,6 - 5
682,8,23/05/2021 17:05,Citizens Bank Park,Philadelphia Phillies,Boston Red Sox,6 - 2
683,8,23/05/2021 17:05,Yankee Stadium,New York Yankees,Chicago White Sox,5 - 4
684,8,23/05/2021 17:07,TD Ballpark,Toronto Blue Jays,Tampa Bay Rays,4 - 6
685,8,23/05/2021 17:10,Progressive Field,Cleveland Indians,Minnesota Twins,5 - 8
686,8,23/05/2021 17:10,loanDepot park,Miami Marlins,New York Mets,5 - 1
687,8,23/05/2021 17:10,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,4 - 9
688,8,23/05/2021 17:20,Truist Park,Atlanta Braves,Pittsburgh Pirates,7 - 1
689,8,23/05/2021 18:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,3 - 2
690,8,23/05/2021 18:35,Globe Life Field,Texas Rangers,Houston Astros,3 - 2
691,8,23/05/2021 19:10,Coors Field,Colorado Rockies,Arizona Diamondbacks,4 - 3
692,8,23/05/2021 20:05,Oracle Park,San Francisco Giants,Los Angeles Dodgers,5 - 11
693,8,23/05/2021 20:07,Angel Stadium,Los Angeles Angels,Oakland Athletics,6 - 5
694,8,23/05/2021 20:10,Petco Park,San Diego Padres,Seattle Mariners,9 - 2
695,8,23/05/2021 23:08,Busch Stadium,St. Louis Cardinals,Chicago Cubs,1 - 2
696,8,24/05/2021 17:07,TD Ballpark,Toronto Blue Jays,Tampa Bay Rays,8 - 14
697,8,24/05/2021 22:40,loanDepot park,Miami Marlins,Philadelphia Phillies,9 - 6
698,8,24/05/2021 23:10,Comerica Park,Detroit Tigers,Cleveland Indians,5 - 6
699,8,24/05/2021 23:10,Citi Field,New York Mets,Colorado Rockies,2 - 3
700,8,24/05/2021 23:40,Target Field,Minnesota Twins,Baltimore Orioles,8 - 3
701,8,24/05/2021 23:40,American Family Field,Milwaukee Brewers,San Diego Padres,5 - 3
702,8,25/05/2021 00:10,Guaranteed Rate Field,Chicago White Sox,St. Louis Cardinals,5 - 1
703,8,25/05/2021 01:40,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2 - 4
704,8,25/05/2021 22:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,3 - 4
705,8,25/05/2021 22:40,loanDepot park,Miami Marlins,Philadelphia Phillies,0 - 2
706,8,25/05/2021 23:05,Nationals Park,Washington Nationals,Cincinnati Reds,1 - 2
707,8,25/05/2021 23:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,2 - 6
708,8,25/05/2021 23:10,Comerica Park,Detroit Tigers,Cleveland Indians,1 - 4
709,8,25/05/2021 23:10,Citi Field,New York Mets,Colorado Rockies,3 - 1
710,8,25/05/2021 23:10,Tropicana Field,Tampa Bay Rays,Kansas City Royals,1 - 2
711,8,25/05/2021 23:10,Fenway Park,Boston Red Sox,Atlanta Braves,1 - 3
712,8,25/05/2021 23:40,Target Field,Minnesota Twins,Baltimore Orioles,7 - 4
713,8,25/05/2021 23:40,American Family Field,Milwaukee Brewers,San Diego Padres,1 - 7
714,8,26/05/2021 00:10,Minute Maid Park,Houston Astros,Los Angeles Dodgers,2 - 9
715,8,26/05/2021 00:10,Guaranteed Rate Field,Chicago White Sox,St. Louis Cardinals,8 - 3
716,8,26/05/2021 01:38,Angel Stadium,Los Angeles Angels,Texas Rangers,11 - 5
717,8,26/05/2021 01:40,Oakland Coliseum,Oakland Athletics,Seattle Mariners,3 - 4
718,8,26/05/2021 01:40,Chase Field,Arizona Diamondbacks,San Francisco Giants,0 - 8
719,9,26/05/2021 17:10,Target Field,Minnesota Twins,Baltimore Orioles,3 - 2
720,9,26/05/2021 18:10,Guaranteed Rate Field,Chicago White Sox,St. Louis Cardinals,0 - 4
721,9,26/05/2021 19:37,Oakland Coliseum,Oakland Athletics,Seattle Mariners,6 - 3
722,9,26/05/2021 20:07,Angel Stadium,Los Angeles Angels,Texas Rangers,9 - 8
723,9,26/05/2021 22:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,1 - 4
724,9,26/05/2021 22:40,loanDepot park,Miami Marlins,Philadelphia Phillies,4 - 2
725,9,26/05/2021 23:05,Nationals Park,Washington Nationals,Cincinnati Reds,5 - 3
726,9,26/05/2021 23:10,Comerica Park,Detroit Tigers,Cleveland Indians,1 - 0
727,9,26/05/2021 23:10,Tropicana Field,Tampa Bay Rays,Kansas City Royals,2 - 1
728,9,26/05/2021 23:10,Fenway Park,Boston Red Sox,Atlanta Braves,9 - 5
729,9,26/05/2021 23:40,Minute Maid Park,Houston Astros,Los Angeles Dodgers,5 - 2
730,9,26/05/2021 23:40,American Family Field,Milwaukee Brewers,San Diego Padres,1 - 2
731,9,27/05/2021 01:40,Chase Field,Arizona Diamondbacks,San Francisco Giants,4 - 5
732,9,27/05/2021 16:10,Citi Field,New York Mets,Colorado Rockies,1 - 0
734,9,27/05/2021 16:10,loanDepot park,Miami Marlins,Philadelphia Phillies,2 - 3
733,9,27/05/2021 16:15,Citi Field,New York Mets,Colorado Rockies,4 - 2
735,9,27/05/2021 16:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,3 - 5
736,9,27/05/2021 17:10,Comerica Park,Detroit Tigers,Cleveland Indians,2 - 5
737,9,27/05/2021 17:10,American Family Field,Milwaukee Brewers,San Diego Padres,6 - 5
738,9,27/05/2021 18:05,Nationals Park,Washington Nationals,Cincinnati Reds,5 - 3
739,9,27/05/2021 19:10,Tropicana Field,Tampa Bay Rays,Kansas City Royals,7 - 2
740,9,27/05/2021 20:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,0 - 2
741,9,27/05/2021 20:10,Yankee Stadium,New York Yankees,Toronto Blue Jays,5 - 3
742,9,27/05/2021 23:00,Nationals Park,Washington Nationals,Cincinnati Reds,0 - 3
743,9,28/05/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,5 - 1
744,9,28/05/2021 01:40,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,5 - 0
745,9,28/05/2021 01:40,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,4 - 5
746,9,28/05/2021 02:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,4 - 3
747,9,28/05/2021 02:10,T-Mobile Park,Seattle Mariners,Texas Rangers,5 - 0
748,9,28/05/2021 18:20,Wrigley Field,Chicago Cubs,Cincinnati Reds,1 - 0
749,9,28/05/2021 23:10,Comerica Park,Detroit Tigers,New York Yankees,3 - 2
750,9,29/05/2021 00:10,Minute Maid Park,Houston Astros,San Diego Padres,3 - 10
751,9,29/05/2021 00:10,Target Field,Minnesota Twins,Kansas City Royals,3 - 8
752,9,29/05/2021 01:40,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,3 - 1
753,9,29/05/2021 01:40,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,6 - 8
754,9,29/05/2021 02:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,5 - 8
755,9,29/05/2021 02:10,T-Mobile Park,Seattle Mariners,Texas Rangers,3 - 2
756,9,29/05/2021 16:05,PNC Park,Pittsburgh Pirates,Colorado Rockies,7 - 0
758,9,29/05/2021 17:10,Tropicana Field,Tampa Bay Rays,Philadelphia Phillies,5 - 3
759,9,29/05/2021 18:05,Nationals Park,Washington Nationals,Milwaukee Brewers,1 - 4
761,9,29/05/2021 18:10,Target Field,Minnesota Twins,Kansas City Royals,6 - 5
762,9,29/05/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,7 - 4
763,9,29/05/2021 18:15,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,3 - 1
764,9,29/05/2021 18:20,Wrigley Field,Chicago Cubs,Cincinnati Reds,10 - 2
757,9,29/05/2021 20:05,PNC Park,Pittsburgh Pirates,Colorado Rockies,4 - 0
765,9,29/05/2021 20:07,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,0 - 4
766,9,29/05/2021 20:10,Minute Maid Park,Houston Astros,San Diego Padres,8 - 11
767,9,29/05/2021 20:10,Fenway Park,Boston Red Sox,Miami Marlins,3 - 1
768,9,29/05/2021 20:10,Comerica Park,Detroit Tigers,New York Yankees,6 - 1
760,9,29/05/2021 23:15,Nationals Park,Washington Nationals,Milwaukee Brewers,2 - 6
769,9,29/05/2021 23:15,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,6 - 11
770,9,29/05/2021 23:15,Citi Field,New York Mets,Atlanta Braves,13 - 2
771,9,30/05/2021 02:10,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,4 - 7
772,9,30/05/2021 02:10,T-Mobile Park,Seattle Mariners,Texas Rangers,3 - 2
773,9,30/05/2021 17:05,PNC Park,Pittsburgh Pirates,Colorado Rockies,3 - 4
774,9,30/05/2021 17:05,Nationals Park,Washington Nationals,Milwaukee Brewers,0 - 3
775,9,30/05/2021 17:10,Progressive Field,Cleveland Indians,Toronto Blue Jays,1 - 4
777,9,30/05/2021 17:10,Tropicana Field,Tampa Bay Rays,Philadelphia Phillies,6 - 2
778,9,30/05/2021 17:10,Comerica Park,Detroit Tigers,New York Yankees,6 - 2
776,9,30/05/2021 17:15,Progressive Field,Cleveland Indians,Toronto Blue Jays,6 - 5
779,9,30/05/2021 18:10,Minute Maid Park,Houston Astros,San Diego Padres,7 - 4
780,9,30/05/2021 18:10,Target Field,Minnesota Twins,Kansas City Royals,3 - 6
781,9,30/05/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,3 - 1
782,9,30/05/2021 18:20,Wrigley Field,Chicago Cubs,Cincinnati Reds,1 - 5
783,9,30/05/2021 20:07,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,2 - 4
784,9,30/05/2021 20:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,4 - 5
785,9,30/05/2021 20:10,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,9 - 2
786,9,30/05/2021 20:10,T-Mobile Park,Seattle Mariners,Texas Rangers,4 - 2
787,9,31/05/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,2 - 3
788,9,31/05/2021 17:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,1 - 3
789,9,31/05/2021 18:10,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,11 - 1
790,9,31/05/2021 18:10,American Family Field,Milwaukee Brewers,Detroit Tigers,3 - 2
791,9,31/05/2021 18:20,Wrigley Field,Chicago Cubs,San Diego Padres,7 - 2
792,9,31/05/2021 19:10,Progressive Field,Cleveland Indians,Chicago White Sox,6 - 8
793,9,31/05/2021 19:15,Progressive Field,Cleveland Indians,Chicago White Sox,3 - 1
794,9,31/05/2021 20:05,Oracle Park,San Francisco Giants,Los Angeles Angels,6 - 1
795,9,31/05/2021 20:10,Minute Maid Park,Houston Astros,Boston Red Sox,11 - 2
796,9,31/05/2021 20:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,6 - 5
797,9,31/05/2021 21:10,Truist Park,Atlanta Braves,Washington Nationals,5 - 3
798,9,01/06/2021 00:10,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,7 - 3
799,9,01/06/2021 01:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,9 - 4
800,9,01/06/2021 01:40,Chase Field,Arizona Diamondbacks,New York Mets,2 - 6
801,9,01/06/2021 22:10,Progressive Field,Cleveland Indians,Chicago White Sox,6 - 5
802,9,01/06/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,7 - 4
803,9,01/06/2021 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,5 - 3
804,9,01/06/2021 23:07,Sahlen Field,Toronto Blue Jays,Miami Marlins,5 - 1
805,9,01/06/2021 23:10,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,3 - 17
806,9,01/06/2021 23:20,Truist Park,Atlanta Braves,Washington Nationals,6 - 11
807,9,01/06/2021 23:40,American Family Field,Milwaukee Brewers,Detroit Tigers,7 - 10
808,9,02/06/2021 00:05,Wrigley Field,Chicago Cubs,San Diego Padres,4 - 3
809,9,02/06/2021 00:10,Minute Maid Park,Houston Astros,Boston Red Sox,5 - 1
810,9,02/06/2021 00:10,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,10 - 5
811,9,02/06/2021 00:40,Coors Field,Colorado Rockies,Texas Rangers,3 - 2
812,9,02/06/2021 01:40,Chase Field,Arizona Diamondbacks,New York Mets,6 - 5
813,9,02/06/2021 01:45,Oracle Park,San Francisco Giants,Los Angeles Angels,1 - 8
814,9,02/06/2021 02:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,6 - 12
815,9,02/06/2021 02:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,2 - 3
816,10,02/06/2021 18:20,Wrigley Field,Chicago Cubs,San Diego Padres,6 - 1
817,10,02/06/2021 19:40,Chase Field,Arizona Diamondbacks,New York Mets,6 - 7
818,10,02/06/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,6 - 3
819,10,02/06/2021 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,4 - 3
820,10,02/06/2021 23:07,Sahlen Field,Toronto Blue Jays,Miami Marlins,6 - 5
821,10,02/06/2021 23:20,Truist Park,Atlanta Braves,Washington Nationals,3 - 5
822,10,03/06/2021 00:10,Minute Maid Park,Houston Astros,Boston Red Sox,2 - 1
823,10,03/06/2021 00:40,Coors Field,Colorado Rockies,Texas Rangers,6 - 3
824,10,03/06/2021 01:10,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,14 - 3
825,10,03/06/2021 02:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,0 - 6
826,10,03/06/2021 16:20,Truist Park,Atlanta Braves,Washington Nationals,5 - 1
827,10,03/06/2021 17:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,2 - 9
828,10,03/06/2021 18:10,Minute Maid Park,Houston Astros,Boston Red Sox,1 - 5
829,10,03/06/2021 19:10,Coors Field,Colorado Rockies,Texas Rangers,11 - 6
830,10,03/06/2021 23:05,PNC Park,Pittsburgh Pirates,Miami Marlins,5 - 3
831,10,03/06/2021 23:40,American Family Field,Milwaukee Brewers,Arizona Diamondbacks,7 - 4
832,10,04/06/2021 00:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,6 - 5
833,10,04/06/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,4 - 1
834,10,04/06/2021 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,2 - 4
835,10,04/06/2021 01:38,Angel Stadium,Los Angeles Angels,Seattle Mariners,2 - 6
836,10,04/06/2021 01:45,Oracle Park,San Francisco Giants,Chicago Cubs,7 - 2
837,10,04/06/2021 02:10,Petco Park,San Diego Padres,New York Mets,4 - 3
838,10,04/06/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Cleveland Indians,3 - 1
839,10,04/06/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,1 - 2
840,10,04/06/2021 23:05,PNC Park,Pittsburgh Pirates,Miami Marlins,9 - 2
841,10,04/06/2021 23:05,Yankee Stadium,New York Yankees,Boston Red Sox,2 - 5
842,10,04/06/2021 23:07,Sahlen Field,Toronto Blue Jays,Houston Astros,1 - 13
843,10,04/06/2021 23:20,Truist Park,Atlanta Braves,Los Angeles Dodgers,5 - 9
844,10,05/06/2021 00:05,Globe Life Field,Texas Rangers,Tampa Bay Rays,5 - 4
845,10,05/06/2021 00:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,14 - 5
846,10,05/06/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,9 - 8
847,10,05/06/2021 00:10,American Family Field,Milwaukee Brewers,Arizona Diamondbacks,5 - 1
848,10,05/06/2021 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,4 - 6
849,10,05/06/2021 00:40,Coors Field,Colorado Rockies,Oakland Athletics,5 - 9
850,10,05/06/2021 01:38,Angel Stadium,Los Angeles Angels,Seattle Mariners,3 - 2
851,10,05/06/2021 01:45,Oracle Park,San Francisco Giants,Chicago Cubs,8 - 5
852,10,05/06/2021 02:10,Petco Park,San Diego Padres,New York Mets,2 - 0
853,10,05/06/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,3 - 4
854,10,05/06/2021 18:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,2 - 5
855,10,05/06/2021 19:07,Sahlen Field,Toronto Blue Jays,Houston Astros,6 - 2
856,10,05/06/2021 20:05,Oriole Park at Camden Yards,Baltimore Orioles,Cleveland Indians,4 - 10
857,10,05/06/2021 20:05,Globe Life Field,Texas Rangers,Tampa Bay Rays,0 - 3
858,10,05/06/2021 20:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,5 - 2
859,10,05/06/2021 20:05,PNC Park,Pittsburgh Pirates,Miami Marlins,8 - 7
860,10,05/06/2021 20:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,4 - 5
861,10,05/06/2021 20:10,American Family Field,Milwaukee Brewers,Arizona Diamondbacks,7 - 5
862,10,05/06/2021 23:15,Oracle Park,San Francisco Giants,Chicago Cubs,4 - 3
863,10,05/06/2021 23:15,Truist Park,Atlanta Braves,Los Angeles Dodgers,6 - 4
864,10,05/06/2021 23:15,Yankee Stadium,New York Yankees,Boston Red Sox,3 - 7
865,10,06/06/2021 01:10,Coors Field,Colorado Rockies,Oakland Athletics,3 - 6
866,10,06/06/2021 02:07,Angel Stadium,Los Angeles Angels,Seattle Mariners,12 - 5
867,10,06/06/2021 02:10,Petco Park,San Diego Padres,New York Mets,0 - 4
868,10,06/06/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Cleveland Indians,18 - 5
869,10,06/06/2021 17:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,12 - 6
870,10,06/06/2021 17:05,PNC Park,Pittsburgh Pirates,Miami Marlins,1 - 3
871,10,06/06/2021 17:07,Sahlen Field,Toronto Blue Jays,Houston Astros,3 - 6
872,10,06/06/2021 17:20,Truist Park,Atlanta Braves,Los Angeles Dodgers,4 - 2
873,10,06/06/2021 18:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,1 - 2
874,10,06/06/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,3 - 0
875,10,06/06/2021 18:10,American Family Field,Milwaukee Brewers,Arizona Diamondbacks,2 - 0
876,10,06/06/2021 18:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,7 - 8
877,10,06/06/2021 18:35,Globe Life Field,Texas Rangers,Tampa Bay Rays,1 - 7
878,10,06/06/2021 19:10,Coors Field,Colorado Rockies,Oakland Athletics,3 - 1
879,10,06/06/2021 20:05,Oracle Park,San Francisco Giants,Chicago Cubs,3 - 4
880,10,06/06/2021 20:07,Angel Stadium,Los Angeles Angels,Seattle Mariners,5 - 9
881,10,06/06/2021 20:10,Petco Park,San Diego Padres,New York Mets,2 - 6
882,10,06/06/2021 23:08,Yankee Stadium,New York Yankees,Boston Red Sox,5 - 6
883,10,07/06/2021 21:10,Fenway Park,Boston Red Sox,Miami Marlins,5 - 3
884,10,08/06/2021 01:38,Angel Stadium,Los Angeles Angels,Kansas City Royals,8 - 3
885,10,08/06/2021 02:10,Petco Park,San Diego Padres,Chicago Cubs,9 - 4
886,10,08/06/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Mets,10 - 3
887,10,08/06/2021 23:05,PNC Park,Pittsburgh Pirates,Los Angeles Dodgers,3 - 5
888,10,08/06/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,5 - 9
889,10,08/06/2021 23:10,Fenway Park,Boston Red Sox,Houston Astros,1 - 7
890,10,08/06/2021 23:10,Comerica Park,Detroit Tigers,Seattle Mariners,5 - 3
891,10,08/06/2021 23:10,Tropicana Field,Tampa Bay Rays,Washington Nationals,3 - 1
892,10,08/06/2021 23:10,loanDepot park,Miami Marlins,Colorado Rockies,6 - 2
893,10,08/06/2021 23:10,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,1 - 5
894,10,09/06/2021 00:05,Globe Life Field,Texas Rangers,San Francisco Giants,4 - 9
895,10,09/06/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Toronto Blue Jays,6 - 1
896,10,09/06/2021 00:10,Target Field,Minnesota Twins,New York Yankees,4 - 8
897,10,09/06/2021 00:15,Busch Stadium,St. Louis Cardinals,Cleveland Indians,1 - 10
898,10,09/06/2021 01:38,Angel Stadium,Los Angeles Angels,Kansas City Royals,8 - 1
899,10,09/06/2021 01:40,Oakland Coliseum,Oakland Athletics,Arizona Diamondbacks,5 - 2
900,10,09/06/2021 02:10,Petco Park,San Diego Padres,Chicago Cubs,1 - 7
901,11,09/06/2021 18:05,Globe Life Field,Texas Rangers,San Francisco Giants,4 - 3
902,11,09/06/2021 19:37,Oakland Coliseum,Oakland Athletics,Arizona Diamondbacks,4 - 0
903,11,09/06/2021 20:10,Petco Park,San Diego Padres,Chicago Cubs,1 - 3
904,11,09/06/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Mets,1 - 14
905,11,09/06/2021 23:05,PNC Park,Pittsburgh Pirates,Los Angeles Dodgers,1 - 2
906,11,09/06/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2 - 1
907,11,09/06/2021 23:10,Fenway Park,Boston Red Sox,Houston Astros,3 - 8
908,11,09/06/2021 23:10,Comerica Park,Detroit Tigers,Seattle Mariners,6 - 9
909,11,09/06/2021 23:10,Tropicana Field,Tampa Bay Rays,Washington Nationals,7 - 9
910,11,09/06/2021 23:10,loanDepot park,Miami Marlins,Colorado Rockies,3 - 4
911,11,09/06/2021 23:10,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,7 - 3
912,11,10/06/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Toronto Blue Jays,2 - 6
913,11,10/06/2021 00:10,Target Field,Minnesota Twins,New York Yankees,6 - 9
914,11,10/06/2021 00:15,Busch Stadium,St. Louis Cardinals,Cleveland Indians,8 - 2
915,11,10/06/2021 01:38,Angel Stadium,Los Angeles Angels,Kansas City Royals,6 - 1
